feature,importance
synergy_mean_a,257
hero_wr_avg_a,233
ph_wr_diff,229
synergy_mean_b,210
ph_wr_avg_a,197
ph_wr_avg_b,196
counter_mean,196
side_win_rate,187
synergy_diff,185
hero_wr_avg_b,172
core_wr_diff,169
hero_wr_diff,165
core_wr_a,162
core_wr_b,149
sup_part_diff,148
jgl_part_diff,133
adc_kda_trend,130
mid_kda_trend,113
jgl_kda_trend,110
sup_kda_trend,107
team_wr_diff,106
sup_kda_diff,97
team_dragon_diff,95
mid_mvp_diff,95
jgl_kda_diff,94
top_part_diff,91
top_kda_trend,85
team_baron_diff,78
mid_part_diff,73
jgl_mvp_diff,73
team_kda_diff,67
sup_mvp_diff,67
adc_part_diff,65
top_mvp_diff,63
top_kda_diff,59
adc_kda_diff,59
team_games_diff,57
mid_kda_diff,54
adc_mvp_diff,44
team_streak_diff,40
team_streak_b,38
team_streak_a,29
h2h_wr,26
h2h_games,26
